序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别：,2、您的年龄：,3、您的职业：,4、您的月收入（人民币）:,5、您每天使用社交媒体的时长大约是多少？,6、您是否了解始祖鸟（Arc'teryx）品牌？,7、您通过以下哪些渠道接触过始祖鸟品牌?,8、始祖鸟的社交媒体内容对您的吸引力如何?,9、您是否曾与始祖鸟的社交媒体账号互动?,10、您更倾向于哪种互动方式？（可多选）,11、您认为始祖鸟社交媒体互动的体验如何？,12、您对始祖鸟品牌的印象如何？（可多选）,13、始祖鸟社交媒体是否增加了您对品牌的了解？,14、您是否因社交媒体内容购买过始祖鸟产品？,15、您最常通过以下哪种途径购买？（可多选）,16、阻碍您购买的原因是什么？（可多选）,17、您对始祖鸟社交媒体的整体满意度如何？,18、您认为始祖鸟社交媒体内容有哪些需要改进的地方？（可多选）,您对始祖鸟社交媒体营销有哪些建议或想法？请简要描述。
195,2025/4/2 10:48:39,105秒,微信,N/A,39.128.81.116(云南-玉溪),女,46岁及以上,政府机关工作人员,3000-8000元,3-5小时,略有了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,比较好,高端户外品牌┋专业性强┋环保可持续┋广告／宣传设计时尚,很多,是,(跳过),不需要相关产品┋购买流程不便捷,非常满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
196,2025/4/2 10:49:14,154秒,微信,N/A,223.79.247.33(山东-潍坊),女,46岁及以上,自由职业者,3000-8000元,1-3小时,非常了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),评论┋分享到个人社交圈┋参与话题活动┋观看直播,一般,专业性强┋环保可持续┋产品设计时尚,一些,是,(跳过),不需要相关产品┋购买流程不便捷,比较满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
197,2025/4/2 10:50:26,116秒,微信,N/A,36.132.188.62(黑龙江-双鸭山),女,26-35岁,其他,8000-15000元,3-5小时,非常了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,非常好,专业性强┋环保可持续┋广告／宣传设计时尚,一些,是,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),比较满意,与用户互动性┋信息实用性,(跳过)
198,2025/4/2 10:52:39,179秒,微信,N/A,120.230.116.180(广东-广州),男,18岁以下,学生,3000元以下,1-3小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,偶尔互动,评论┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,很多,是,官方电商平台┋线下专卖店,(跳过),非常满意,与用户互动性┋信息实用性,(跳过)
199,2025/4/2 10:53:46,167秒,微信,N/A,182.87.215.184(江西-上饶),男,18-25岁,学生,3000元以下,3-5小时,略有了解,微信公众号┋小红书┋抖音/快手┋线下店铺,比较吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,比较好,专业性强┋环保可持续┋产品设计时尚,很多,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),比较满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
200,2025/4/2 10:55:18,158秒,微信,N/A,221.210.255.225(黑龙江-鸡西),女,36-45岁,企业职员,3000-8000元,3-5小时,非常了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),比较吸引,经常互动(点赞、评论、分享等),评论┋分享到个人社交圈┋参与话题活动┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,第三方电商平台（如天猫、京东）┋线下专卖店,(跳过),非常满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
201,2025/4/2 10:57:25,168秒,微信,N/A,111.127.186.56(内蒙古-巴彦淖尔),男,18-25岁,企业职员,3000-8000元,3-5小时,完全不了解,微信公众号┋小红书┋品牌宫网┋线下店铺,不太吸引,很少互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常差,专业性强┋环保可持续┋产品设计时尚,完全没有,否,(跳过),价格过高┋产品信息不够清楚,非常不满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
202,2025/4/2 10:58:57,116秒,微信,N/A,49.88.127.69(江苏-连云港),男,36-45岁,企业职员,3000-8000元,3-5小时,非常了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),一般,偶尔互动,点赞┋评论┋参与话题活动┋私信交流,一般,高端户外品牌┋专业性强┋环保可持续┋广告／宣传设计时尚,一些,是,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),比较满意,与用户互动性┋信息实用性,(跳过)
203,2025/4/2 11:00:11,150秒,微信,N/A,112.13.40.252(浙江-温州),男,46岁及以上,政府机关工作人员,3000-8000元,5小时以上,略有了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),评论┋分享到个人社交圈┋参与话题活动┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,(跳过),不需要相关产品┋购买流程不便捷,比较满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
204,2025/4/2 11:01:52,129秒,微信,N/A,115.60.180.91(河南-郑州),男,46岁及以上,企业职员,3000-8000元,少于1小时,略有了解,微信公众号┋小红书┋抖音/快手┋线下店铺,比较吸引,经常互动(点赞、评论、分享等),点赞┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,很多,是,官方电商平台┋线下专卖店,(跳过),比较满意,与用户互动性┋信息实用性,(跳过)
205,2025/4/2 11:04:20,115秒,微信,N/A,125.37.177.133(天津-天津),男,36-45岁,企业职员,3000-8000元,5小时以上,完全不了解,微信公众号┋小红书┋抖音/快手┋线下店铺,一般,很少互动,评论┋分享到个人社交圈┋参与话题活动┋观看直播,非常差,高端户外品牌┋价格较高┋产品设计时尚,一般,否,官方电商平台┋线下专卖店,(跳过),非常不满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
206,2025/4/2 11:05:54,133秒,微信,N/A,112.231.204.140(山东-济南),男,46岁及以上,企业职员,3000-8000元,1-3小时,略有了解,微信公众号┋小红书┋抖音/快手┋线下店铺,一般,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋观看直播,非常好,专业性强┋环保可持续┋产品设计时尚,很多,是,第三方电商平台（如天猫、京东）┋线下专卖店,(跳过),一般,内容丰富度┋与用户互动性┋发布频率,(跳过)
207,2025/4/2 11:07:23,149秒,微信,N/A,117.179.103.253(黑龙江-绥化),女,18-25岁,学生,3000元以下,3-5小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,偶尔互动,点赞┋评论┋参与话题活动┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,一般,是,(跳过),价格过高┋品牌吸引力不足,比较满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
208,2025/4/2 11:08:52,83秒,微信,N/A,220.249.9.62(北京-北京),女,26-35岁,政府机关工作人员,8000-15000元,5小时以上,略有了解,线下店铺,不太吸引,从未互动,点赞,比较好,高端户外品牌┋专业性强┋价格较高┋产品设计时尚,一般,否,(跳过),价格过高┋不需要相关产品┋产品信息不够清楚,一般,内容丰富度,(空)
209,2025/4/2 11:09:38,146秒,微信,N/A,115.60.31.253(河南-郑州),男,18-25岁,企业职员,3000-8000元,3-5小时,非常了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),评论┋分享到个人社交圈┋参与话题活动┋观看直播,非常好,专业性强┋环保可持续┋产品设计时尚,很多,是,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),一般,内容丰富度┋创意和设计感┋发布频率,(跳过)
210,2025/4/2 11:11:41,100秒,微信,N/A,113.7.29.198(黑龙江-佳木斯),男,18-25岁,企业职员,3000-8000元,1-3小时,非常了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,第三方电商平台（如天猫、京东）┋线下专卖店,(跳过),非常满意,与用户互动性┋信息实用性,(跳过)
211,2025/4/2 11:13:35,149秒,微信,N/A,101.93.221.19(上海-上海),女,18岁以下,学生,3000元以下,少于1小时,非常了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,一般,高端户外品牌┋价格较高┋产品设计时尚,一些,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),非常满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
212,2025/4/2 11:14:19,168秒,微信,N/A,49.89.56.207(江苏-宿迁),男,36-45岁,企业职员,3000-8000元,3-5小时,略有了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,比较好,专业性强┋环保可持续┋广告／宣传设计时尚,很多,是,(跳过),价格过高┋品牌吸引力不足,比较满意,与用户互动性┋信息实用性,(跳过)
213,2025/4/2 11:16:39,162秒,微信,N/A,183.200.238.69(山西-吕梁),女,36-45岁,企业职员,3000-8000元,1-3小时,完全不了解,微博┋抖音/快手┋朋友推荐┋线下店铺,一般,很少互动,点赞┋评论┋参与话题活动┋私信交流,比较好,专业性强┋环保可持续┋产品设计时尚,一些,否,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),一般,与用户互动性┋信息实用性,(跳过)
214,2025/4/2 11:18:23,106秒,微信,N/A,1.58.42.84(黑龙江-哈尔滨),女,46岁及以上,其他,15000元以上,少于1小时,非常了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,一般,是,第三方电商平台（如天猫、京东）┋线下专卖店,(跳过),比较满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
215,2025/4/2 11:19:22,110秒,微信,N/A,112.122.176.11(安徽-淮北),女,36-45岁,企业职员,3000-8000元,3-5小时,略有了解,微信公众号┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,非常好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),非常满意,与用户互动性┋信息实用性,(跳过)
216,2025/4/2 11:21:24,156秒,微信,N/A,117.179.27.39(黑龙江-大兴安岭),女,36-45岁,企业职员,3000-8000元,3-5小时,非常了解,微博┋小红书┋品牌宫网┋线下店铺,比较吸引,经常互动(点赞、评论、分享等),点赞┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,专业性强┋环保可持续┋广告／宣传设计时尚,很多,是,第三方电商平台（如天猫、京东）,(跳过),非常满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
217,2025/4/2 11:22:51,124秒,微信,N/A,122.245.219.20(浙江-宁波),男,18岁以下,学生,3000元以下,1-3小时,非常了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),比较吸引,偶尔互动,点赞┋评论┋参与话题活动┋私信交流,一般,高端户外品牌┋价格较高┋产品设计时尚,一些,是,官方电商平台┋线下专卖店,(跳过),非常满意,与用户互动性┋信息实用性,(跳过)
218,2025/4/2 11:24:40,127秒,微信,N/A,39.130.49.68(云南-昆明),女,18岁以下,学生,3000元以下,5小时以上,非常了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,比较好,高端户外品牌┋价格较高┋产品设计时尚,一些,是,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),非常满意,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
219,2025/4/2 11:25:34,120秒,微信,N/A,223.90.254.239(河南-许昌),男,36-45岁,自由职业者,3000-8000元,1-3小时,非常了解,微信公众号┋小红书┋抖音/快手┋线下店铺┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,比较好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,很多,是,(跳过),品牌吸引力不足┋购买流程不便捷,比较满意,与用户互动性┋信息实用性,(跳过)
220,2025/4/2 11:28:01,185秒,微信,N/A,60.218.235.15(黑龙江-双鸭山),女,18-25岁,企业职员,3000-8000元,3-5小时,略有了解,微信公众号┋小红书┋抖音/快手┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),非常满意,与用户互动性┋信息实用性,(跳过)
221,2025/4/2 11:28:42,160秒,微信,N/A,125.113.250.71(浙江-金华),男,46岁及以上,企业职员,3000-8000元,3-5小时,略有了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,偶尔互动,评论┋分享到个人社交圈┋参与话题活动┋观看直播,非常好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,一些,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),比较满意,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
222,2025/4/2 11:29:22,178秒,微信,N/A,121.27.151.164(河北-邢台),女,26-35岁,企业职员,3000-8000元,3-5小时,不太了解,微信公众号┋小红书┋抖音/快手┋线下店铺,完全不吸引,从未互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,较差,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,一般,否,(跳过),价格过高┋产品信息不够清楚,比较满意,与用户互动性┋信息实用性,(跳过)
223,2025/4/2 11:31:14,111秒,微信,N/A,120.243.46.179(安徽-亳州),男,46岁及以上,自由职业者,3000-8000元,5小时以上,非常了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋观看直播,非常好,高端户外品牌┋专业性强┋环保可持续┋广告／宣传设计时尚,一些,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),比较满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
224,2025/4/2 11:32:30,106秒,微信,N/A,1.63.60.131(黑龙江-鸡西),男,18岁以下,学生,3000元以下,5小时以上,略有了解,微信公众号┋小红书┋抖音/快手┋线下店铺,比较吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,专业性强┋环保可持续┋产品设计时尚,一些,是,(跳过),价格过高┋产品信息不够清楚,比较满意,与用户互动性┋信息实用性,(跳过)
225,2025/4/2 11:33:18,128秒,微信,N/A,183.206.20.253(江苏-南京),女,26-35岁,其他,3000-8000元,1-3小时,非常了解,小红书┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,比较好,高端户外品牌┋价格较高┋产品设计时尚,一些,是,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),非常满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
